Customer,Customer
You,You
Back,Back
"Approve Quote","Approve Quote"
"Re-Open Quote","Re-Open Quote"
"Close Quote","Close Quote"
Delete,Delete
"Do you really want to delete this RFQ?","Do you really want to delete this RFQ?"
"My Request Quote Detail - SKU: %1","My Request Quote Detail - SKU: %1"
"The record has been approved.","The record has been approved."
"We can't find a record to approve.","We can't find a record to approve."
"The record has been closed.","The record has been closed."
"We can't find a record to closed.","We can't find a record to closed."
"The record has been deleted.","The record has been deleted."
"We can't find a record to delete.","We can't find a record to delete."
"We can't find the file you requested.","We can't find the file you requested."
RFQ,RFQ
"Manage RFQ","Manage RFQ"
"This record no longer exists.","This record no longer exists."
"Edit RFQ","Edit RFQ"
"New RFQ","New RFQ"
"Quote #%1: Product ""%2"" from ""%3""","Quote #%1: Product ""%2"" from ""%3"""
"Manage Quotes","Manage Quotes"
"Manage RFQ's","Manage RFQ's"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"Contact Name","Contact Name"
Status,Status
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"The record has been re-new.","The record has been re-new."
"We can't find a record to re-new.","We can't find a record to re-new."
"The record has been saved.","The record has been saved."
"We can't find a record to update.","We can't find a record to update."
"The quote does not exist.","The quote does not exist."
"Please fill message box to send this message.","Please fill message box to send this message."
"Somethings went wrong while send this message.","Somethings went wrong while send this message."
"Send message successfully","Send message successfully"
"The quote was converted to shopping cart sucessfully!","The quote was converted to shopping cart sucessfully!"
"We can not convert quote to shopping cart.","We can not convert quote to shopping cart."
"Please sign in to download.","Please sign in to download."
"All Requested Quotes","All Requested Quotes"
"You must login to create a request for quote.","You must login to create a request for quote."
"Somethings went wrong while create this quote.","Somethings went wrong while create this quote."
"The product does not exist!","The product does not exist!"
"Please enter the correct email.","Please enter the correct email."
"Your request has been sent!","Your request has been sent!"
"You cannot send the message for this quote.","You cannot send the message for this quote."
"We can not send message when Quote was closed or done.","We can not send message when Quote was closed or done."
"The quote does not exist!","The quote does not exist!"
"You cannot view this quote.","You cannot view this quote."
"Added item from Quick RFQ ID %1","Added item from Quick RFQ ID %1"
New,New
Processing,Processing
Approved,Approved
Expired,Expired
Done,Done
Re-New,Re-New
"Could not save the quickrfq: %1","Could not save the quickrfq: %1"
"Quickrfq with id ""%1"" does not exist.","Quickrfq with id ""%1"" does not exist."
"Could not save message because missing quote id","Could not save message because missing quote id"
"Could not save the message: %1","Could not save the message: %1"
Unknown,Unknown
"Could not delete the Quickrfq: %1","Could not delete the Quickrfq: %1"
View,View
"Delete quote #quickrfq_id from contact_name","Delete quote #quickrfq_id from contact_name"
"Are you sure you wan't to delete quote #quickrfq_id from contact_name?","Are you sure you wan't to delete quote #quickrfq_id from contact_name?"
"Request From Store","Request From Store"
"Customer Name","Customer Name"
"Email Address","Email Address"
"Phone Number ","Phone Number "
Attachment,Attachment
"Contact And Message","Contact And Message"
Message,Message
"Customer Info","Customer Info"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
Loading...,Loading...
"Add your message","Add your message"
Send,Send
"Product Information","Product Information"
"Name & SKU","Name & SKU"
Thumnail,Thumnail
"Product Price","Product Price"
"Expected Price","Expected Price"
Quantity,Quantity
"Total Price","Total Price"
"Request Price: ","Request Price: "
"Admin Item Price: ","Admin Item Price: "
"Input your price","Input your price"
"Request Quantity: ","Request Quantity: "
"Admin Quantity: ","Admin Quantity: "
"Input your quantity","Input your quantity"
"Admin Total: ","Admin Total: "
"Process Quote","Process Quote"
"Quote Status: ","Quote Status: "
"Seller Name: ","Seller Name: "
"Add Coupon Code: ","Add Coupon Code: "
"Input Coupon Code","Input Coupon Code"
"Get Coupon Code","Get Coupon Code"
"Cart Expiry Date: ","Cart Expiry Date: "
"Update Quote","Update Quote"
"Request a Quote","Request a Quote"
"Quote Information","Quote Information"
"Quote Price Per Unit","Quote Price Per Unit"
"Quote Price Per Quantity","Quote Price Per Quantity"
"Quote Quantity","Quote Quantity"
"Product Quantity","Product Quantity"
"Date Need Quote","Date Need Quote"
"Phone number","Phone number"
"Customer Email","Customer Email"
"Add your comment","Add your comment"
"Attach file","Attach file"
by,by
Landofcoder.com,Landofcoder.com
"Send Request","Send Request"
Cancel,Cancel
"Requested Quote For Product","Requested Quote For Product"
"Quote Price","Quote Price"
"Quote Qty","Quote Qty"
"Created At","Created At"
Action,Action
"View Product Detail","View Product Detail"
"SKU: %1","SKU: %1"
"admin price: %1","admin price: %1"
"admin qty: %1","admin qty: %1"
"There aren't referred customers","There aren't referred customers"
Admin,Admin
"approved price: %1 Per Unit","approved price: %1 Per Unit"
"Convert Quote to Shopping Cart","Convert Quote to Shopping Cart"
"Add to Cart","Add to Cart"
"Quote Status:","Quote Status:"
Quantity:,Quantity:
Units,Units
"Admin Suggest Quantity:","Admin Suggest Quantity:"
"Expected Price:","Expected Price:"
"Per Unit","Per Unit"
"Admin Suggest Price:","Admin Suggest Price:"
"Per Units","Per Units"
"Expected Total:","Expected Total:"
"Admin Suggest Total:","Admin Suggest Total:"
"Admin Added Coupon Code:","Admin Added Coupon Code:"
"You can apply coupon code when checkout order for this quote.","You can apply coupon code when checkout order for this quote."
Seller:,Seller:
"Date Need Quote:","Date Need Quote:"
"Expiry Date For Create Order:","Expiry Date For Create Order:"
Attachments:,Attachments:
Messages,Messages
" at: %1"," at: %1"
"No message found!","No message found!"
Adding...,Adding...
"You have been received a request for quote from %sender_name","You have been received a request for quote from %sender_name"
"You sent a request for quote to %receiver_name","You sent a request for quote to %receiver_name"
"You received an email from %sender_name","You received an email from %sender_name"
"You sent an email to %receiver_name","You sent an email to %receiver_name"
Proceed,Proceed
"Your file could not be uploaded. Please try again.","Your file could not be uploaded. Please try again."
"You cannot attach more than ten files per comment.","You cannot attach more than ten files per comment."
"Cannot Upload File","Cannot Upload File"
"The maximum allowed file size is %1 MB. Please select a different file.","The maximum allowed file size is %1 MB. Please select a different file."
"The maximum file name length is %1 characters.","The maximum file name length is %1 characters."
"The only special symbols that are allowed in the file name are dash (-) and underscore (_).","The only special symbols that are allowed in the file name are dash (-) and underscore (_)."
"%1 is not an allowed file type. Please select a different file.","%1 is not an allowed file type. Please select a different file."
"Allowed file formats: %1.","Allowed file formats: %1."
"Quick Rfq","Quick Rfq"
"Options For RFQ","Options For RFQ"
"Enable RFQ","Enable RFQ"
"Required Customer Login","Required Customer Login"
"Enable Terms","Enable Terms"
"Terms Label","Terms Label"
"Terms and Conditions of RFQ","Terms and Conditions of RFQ"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Send Emails To Admin","Send Emails To Admin"
"Email Template After Create Quote for Admin","Email Template After Create Quote for Admin"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Template After Create Quote For Customer","Email Template After Create Quote For Customer"
"Email Template After Send Message For Sender","Email Template After Send Message For Sender"
"Email Template After Send Message For Receiver","Email Template After Send Message For Receiver"
"Upload Restrictions For RFQ","Upload Restrictions For RFQ"
"Enable Upload","Enable Upload"
"File formats for upload","File formats for upload"
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed."
"Maximum file size","Maximum file size"
"File size in MB. Note that this setting can be overridden by the server settings.","File size in MB. Note that this setting can be overridden by the server settings."
"Google Captcha Keys","Google Captcha Keys"
Enable,Enable
"Google Captcha Secret Key","Google Captcha Secret Key"
"Get Key From https://www.google.com/recaptcha/admin","Get Key From https://www.google.com/recaptcha/admin"
"Google Captcha Site Key","Google Captcha Site Key"
"Quote Process Options","Quote Process Options"
"Set Expiry days","Set Expiry days"
"Set number days after the quote was approved. Default: 10","Set number days after the quote was approved. Default: 10"
"Auto Apply Coupon","Auto Apply Coupon"
"Keep Old Cart Items","Keep Old Cart Items"
"Message Text when admin Update quote data for Customer","Message Text when admin Update quote data for Customer"
"Message Text when Close quote for Customer","Message Text when Close quote for Customer"
"Message Text when Approved quote for Customer","Message Text when Approved quote for Customer"
"Message Text when Expired quote for Customer","Message Text when Expired quote for Customer"
"Message Text when Re-New quote for Customer","Message Text when Re-New quote for Customer"
"Store View","Store View"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Expiry,Expiry
Close,Close
ID,ID
"Product Sku","Product Sku"
Email,Email
Created,Created
"Quick RFQ","Quick RFQ"
